freq,imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.2 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.2 ))*1m),imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.4 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.4 ))*1m),imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.6 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.6 ))*1m),imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.8 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.8 ))*1m)
196.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
197.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
198.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
199.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
200.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
201.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
202.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
203.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
204.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
205.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
206.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
207.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
208.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
209.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
210.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
211.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
212.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
213.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
214.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
215.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
216.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
217.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
218.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
219.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
220.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
221.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
222.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
223.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
224.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
225.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
226.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
227.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
228.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
229.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
230.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
231.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
232.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
233.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
234.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
235.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
236.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
237.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
238.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
239.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
240.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
241.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
242.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
243.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
244.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
245.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
246.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
247.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
248.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
